a_main mid_to_a
6
708.389404 643.049194 184.962799 1.496003 131.135986 0.000000
-469.397949 722.942505 123.486542 0.704004 7.856066 0.000000 False
93.805946 582.031250 95.086731 0.176002 87.672066 0.000000 False
-718.368469 1391.315063 83.031250 -0.263998 -42.559959 0.000000 False
-646.968750 1771.968750 44.219551 -2.728001 -61.127991 0.000000 False
-66.031250 1771.968750 49.096481 -2.816001 -98.352013 0.000000 False
-66.029114 1290.031250 39.838463 -7.832002 -110.231941 0.000000 True
-70.031250 1018.031250 84.031250 0.351995 -179.223969 0.000000 False
-1044.031250 1001.977722 81.199463 -1.496004 1.792019 0.000000 False
-1280.027832 1122.135864 107.591904 2.287992 92.239983 0.000000 False
-1886.798706 973.932678 66.031250 -1.320001 -0.064009 0.000000 False
-1044.189331 644.031067 113.696701 3.959996 89.775970 0.000000 False
-1250.887085 -337.557861 112.031250 2.023995 96.023926 0.000000 False
-1952.031250 340.031250 102.031250 4.223998 82.479988 0.000000 False
-1668.031250 464.027344 178.595245 23.935986 75.431953 0.000000 False
