b_ramp_to_b b_house_to_b
5
-1223.702148 -1127.313843 56.856625 -4.267993 62.830376 0.000000
-142.283813 -207.740295 77.031219 1.210005 -145.554169 0.000000 False
53.968750 -676.031372 165.947174 5.368001 -170.598480 0.000000 False
-284.031982 -806.031250 42.880173 0.263992 -176.428741 -0.000000 True
64.027473 -876.526428 162.031250 5.389991 178.877304 0.000000 False
-419.412964 425.460236 177.363724 5.544006 -105.846497 0.000000 False
-483.303589 641.380371 151.311523 4.576008 -99.716484 0.000000 False
-703.519104 -116.027649 68.971039 1.034000 -89.295952 0.000000 False
-935.818665 -116.031311 104.714508 5.895993 -44.261890 0.000000 False
-140.031555 -293.968750 75.284821 1.451991 -176.189743 0.000000 False
-1576.891846 -16.917053 112.185638 1.847992 -10.908648 0.000000 False
-1589.463501 -306.492676 112.102646 1.627990 7.659309 0.000000 False
-1463.968750 212.987015 137.805542 3.981996 -42.985119 0.000000 False
-1199.224609 22.529772 112.443954 1.033992 -53.933823 0.000000 False
-1192.663696 -348.399536 112.575623 2.859993 54.592155 0.000000 False
-1626.662598 1185.775269 61.031250 -1.980002 -73.799713 0.000000 False
-1261.165283 896.205139 65.402512 -2.068012 -93.828300 0.000000 False
-956.650879 1153.825806 78.362305 -0.902013 -116.386978 0.000000 False
-1793.927856 1059.942505 56.031250 -2.222012 -58.086983 0.000000 False
-1047.196777 647.294373 114.164093 2.749991 -146.680710 0.000000 False
-2076.659424 1103.879517 125.031250 1.693986 -44.050919 0.000000 True
