none
5
1189.604614 -880.362976 -196.598785 1.135750 -132.620117 0.000000
533.151306 -1561.821289 -254.968750 -1.378767 58.113628 0.000000 False
743.970764 -1719.257690 -242.035492 -0.281517 89.625778 0.000000 False
280.031250 -1711.970703 -119.247040 19.442537 30.889519 0.000000 False
-496.031250 -1516.955444 24.031250 10.991799 -1.802569 0.000000 False
-781.702637 -1689.572998 -167.125870 0.141979 5.426227 0.000000 False
191.692154 -1436.029053 -166.968750 13.270443 -22.101294 0.000000 False
460.972382 -1436.031250 -166.968750 32.501232 -83.855087 0.000000 False
-734.293030 -2075.664062 -165.968750 -0.108294 27.384808 0.000000 False
-1008.610168 -2489.725586 -153.968750 0.045692 36.817337 0.000000 False
-702.827209 -2526.155762 -158.968750 0.392116 54.199764 0.000000 False
-449.098999 -2140.515625 -165.968750 -0.974570 40.373550 0.000000 False
177.062149 -1717.468262 -153.968750 0.449927 86.155701 0.000000 False
-264.945496 -2181.444824 -159.126602 -0.358575 56.524162 0.000000 False
-257.175720 -2395.339111 -152.373459 -0.204576 68.061043 0.000000 False
8.367520 -2165.968750 -158.968750 -0.269499 96.340012 0.000000 False
102.485733 -2071.968750 -158.968750 0.180401 126.542168 0.000000 False
-1218.456665 -1436.850586 -148.350021 -0.012093 -17.093979 0.000000 False
-264.031250 -1504.028198 -151.304337 0.950412 -90.565224 0.000000 False
151.937668 -1915.028687 -158.968750 1.123663 178.126495 0.000000 False
-389.333862 -2394.970215 -157.420166 -0.782096 88.504951 0.000000 True
-1311.969116 -1158.464600 -158.968750 -0.377843 -37.485859 0.000000 False
-808.906067 -1306.027344 -158.968750 0.084157 -50.248638 0.000000 False
-719.968750 -928.629639 -218.650269 -2.233039 -77.127357 0.000000 False
-868.141296 134.896988 -158.790451 0.161121 -79.918961 0.000000 False
-507.951538 -1315.896362 -150.968750 0.469113 -105.677956 0.000000 False
-1408.115601 -2212.485596 -239.989517 -6.095131 -12.661842 0.000000 False
-902.031250 -2603.077393 -158.968750 0.931116 112.603386 0.000000 False
-1017.033875 -2232.031250 -110.880524 17.890329 -86.114265 0.000000 False
